Image Number,ROI,Total Flux [p/s],Avg Radiance [p/s/cm²/sr],Stdev Radiance,Min Radiance,Max Radiance,ROI Label,Experiment
MFM20231010134016_001A,ROI 1,1.48E+06,2.57E+03,2.31E+03,-2.83E+03,1.77E+04,1,2024-02-22
MFM20231010134717_001A,ROI 2,1.01E+06,1.76E+03,1.30E+03,-1.75E+03,6.98E+03,2,2024-02-22
MFM20231010134016_001A,ROI 3,1.36E+06,2.38E+03,1.98E+03,-2.32E+03,1.43E+04,3,2024-02-22
MFM20231010134016_001A,ROI 4,1.34E+06,2.39E+03,1.79E+03,-2.03E+03,1.08E+04,4,2024-02-22
MFM20231010134016_001A,ROI 5,1.22E+06,2.19E+03,1.68E+03,-2.78E+03,9.17E+03,5,2024-02-22
MFM20231010134717_001A,ROI 1,1.03E+06,1.66E+03,1.31E+03,-2.81E+03,9.11E+03,6,2024-02-22
MFM20231010135501_001A,ROI 2,1.79E+06,2.92E+03,2.34E+03,-4.31E+03,4.28E+04,7,2024-02-22
MFM20231010135900_001A,ROI 3,8.63E+05,1.81E+03,1.33E+03,-2.22E+03,7.97E+03,8,2024-02-22
MFM20231010134016_001A,ROI 4,1.48E+06,2.69E+03,2.27E+03,-2.46E+03,1.79E+04,9,2024-02-22
MFM20231010134717_001A,ROI 5,1.04E+06,1.68E+03,1.45E+03,-2.30E+03,7.84E+03,10,2024-02-22
MFM20231010135501_001A,ROI 1,1.11E+06,1.82E+03,1.50E+03,-2.04E+03,7.91E+03,11,2024-02-22
MFM20231010135501_001A,ROI 2,1.23E+06,2.39E+03,1.74E+03,-2.51E+03,9.42E+03,12,2024-02-22
MFM20231010135501_001A,ROI 3,1.16E+06,1.94E+03,1.51E+03,-2.48E+03,7.58E+03,13,2024-02-22
MFM20231010135900_001A,ROI 4,9.82E+05,1.72E+03,1.33E+03,-2.99E+03,8.85E+03,14,2024-02-22
MFM20231010135501_001A,ROI 5,1.22E+06,1.97E+03,1.64E+03,-2.57E+03,1.01E+04,15,2024-02-22
MFM20231010135501_001A,ROI 1,1.63E+06,2.65E+03,2.16E+03,-3.45E+03,1.25E+04,16,2024-02-22
MFM20231010134717_001A,ROI 2,9.91E+05,1.91E+03,1.48E+03,-2.29E+03,8.49E+03,17,2024-02-22
MFM20231010135501_001A,ROI 3,1.66E+06,2.88E+03,2.32E+03,-3.56E+03,1.26E+04,18,2024-02-22
MFM20231010135501_001A,ROI 4,2.76E+06,4.53E+03,3.75E+03,-6.00E+03,5.05E+04,19,2024-02-22
MFM20231010135501_001A,ROI 5,2.15E+06,3.77E+03,3.21E+03,-3.85E+03,2.31E+04,20,2024-02-22
MFM20231010135900_001A,ROI 1,1.18E+06,2.21E+03,1.54E+03,-2.04E+03,1.08E+04,21,2024-02-22
MFM20231010135900_001A,ROI 2,1.07E+06,1.85E+03,1.43E+03,-2.81E+03,1.28E+04,22,2024-02-22
MFM20231010135900_001A,ROI 3,1.30E+06,2.06E+03,1.67E+03,-2.81E+03,3.84E+04,23,2024-02-22
MFM20231010135501_001A,ROI 4,1.10E+06,1.90E+03,1.48E+03,-1.97E+03,7.90E+03,24,2024-02-22
MFM20231010134717_001A,ROI 5,1.07E+06,1.82E+03,1.58E+03,-2.36E+03,9.53E+03,25,2024-02-22
