Image Number,ROI,Image Layer,Total Flux [p/s],Avg Radiance [p/s/cm²/sr],Stdev Radiance,Min Radiance,Max Radiance,ROI Label,Experiment
MFM20231128082248_001A,ROI 1,Overlay,1.05E+09,1.94E+06,2.86E+06,-4.57E+04,2.58E+07,1,2024-03-15
MFM20231128082248_001A,ROI 2,Overlay,1.31E+07,2.53E+04,2.84E+04,-6.34E+04,2.38E+05,2,2024-03-15
MFM20231128082248_001A,ROI 4,Overlay,9.40E+08,1.63E+06,2.42E+06,-3.62E+04,2.53E+07,4,2024-03-15
MFM20231128082248_001A,ROI 5,Overlay,7.15E+08,1.40E+06,1.98E+06,-4.65E+04,1.03E+07,5,2024-03-15
MFM20231128082521_001A,ROI 3,Overlay,1.76E+07,3.30E+04,5.34E+04,-1.93E+03,9.74E+05,3,2024-03-15
MFM20231128083001_001A,ROI 2,Overlay,1.22E+09,2.19E+06,3.12E+06,-1.73E+04,2.06E+07,7,2024-03-15
MFM20231128083001_001A,ROI 3,Overlay,1.27E+09,2.35E+06,3.00E+06,-3.91E+04,1.86E+07,8,2024-03-15
MFM20231128083001_001A,ROI 4,Overlay,1.20E+09,2.15E+06,2.86E+06,-3.46E+04,1.71E+07,9,2024-03-15
MFM20231128083001_001A,ROI 5,Overlay,3.86E+08,7.82E+05,1.14E+06,-5.10E+04,1.39E+07,10,2024-03-15
MFM20231128083132_001A,ROI 1,Overlay,4.63E+06,9.49E+03,2.14E+04,-1.95E+03,2.49E+05,6,2024-03-15
MFM20231128083646_001A,ROI 1,Overlay,1.42E+09,2.69E+06,3.89E+06,-4.14E+04,2.92E+07,11,2024-03-15
MFM20231128083646_001A,ROI 3,Overlay,9.21E+08,1.72E+06,2.58E+06,-6.94E+04,2.21E+07,13,2024-03-15
MFM20231128083646_001A,ROI 5,Overlay,9.06E+08,1.56E+06,2.34E+06,-8.69E+04,1.91E+07,15,2024-03-15
MFM20231128083819_001A,ROI 2,Overlay,3.71E+06,6.80E+03,8.22E+03,-7.25E+03,7.66E+04,12,2024-03-15
MFM20231128083819_001A,ROI 4,Overlay,1.60E+07,2.73E+04,1.66E+05,-7.59E+03,3.61E+06,14,2024-03-15
MFM20231128084126_001A,ROI 1,Overlay,4.94E+08,8.20E+05,1.28E+06,-5.88E+04,1.16E+07,16,2024-03-15
MFM20231128084126_001A,ROI 2,Overlay,9.70E+08,1.56E+06,2.27E+06,-4.54E+04,1.49E+07,17,2024-03-15
MFM20231128084126_001A,ROI 3,Overlay,5.22E+08,9.09E+05,1.43E+06,-5.39E+04,1.08E+07,18,2024-03-15
MFM20231128084126_001A,ROI 4,Overlay,3.85E+08,7.83E+05,1.11E+06,-5.33E+04,7.57E+06,19,2024-03-15
MFM20231128084126_001A,ROI 5,Overlay,9.12E+08,1.69E+06,2.48E+06,-6.00E+04,1.93E+07,20,2024-03-15
MFM20231128085015_001A,ROI 1,Overlay,6.94E+08,1.24E+06,1.88E+06,-7.99E+04,2.07E+07,21,2024-03-15
MFM20231128085015_001A,ROI 2,Overlay,9.08E+08,1.68E+06,2.38E+06,-5.67E+04,1.82E+07,22,2024-03-15
MFM20231128085015_001A,ROI 3,Overlay,8.05E+08,1.56E+06,2.82E+06,-9.06E+04,2.86E+07,23,2024-03-15
MFM20231128085015_001A,ROI 4,Overlay,8.63E+08,1.60E+06,2.25E+06,-6.53E+04,1.51E+07,24,2024-03-15
MFM20231128085015_001A,ROI 5,Overlay,9.38E+08,1.70E+06,2.76E+06,-1.17E+05,2.61E+07,25,2024-03-15
